"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"Mercantil Rodrigues","","0","1","0","1","","0","0","","0","","","","",""
"Merkator Feiras e Eventos","Outros","0","0","1","0","anunciante","6","0","Novo Hamburgo","0","R$ 100 a 999 Mil","Rio Grande do Sul","agência","Pequeno",""
"Meta Comunicação","","0","1","1","1","","4","0","","0","","","","",""
"MidiaWeb","","1","2","0","2","","2","0","","0","","","","",""
"midiaweb","","1","1","0","0","agência","0","0","","0","","","","",""
"Ministério da Saúde","","1","0","0","0","","1","0","","0","","","","",""
"Miolo","","0","0","0","0","","0","0","","0","","","","",""
"Miolo","","0","0","0","0","","0","0","","0","","","","",""
"Mirum (PR)","","0","1","0","0","","0","0","","0","","","","",""
"Mississipi","Couro e Calçados","1","2","1","0","anunciante","5","0","Nova Petrópolis","2","R$ 1 a 5 Mi","Rio Grande do Sul","agência","Médio",""
"Mistertech","","0","0","0","2","","2","0","","0","","","","",""
"mkt4edu","","0","0","0","0","","0","0","","0","","","","",""
"MMc","Automotivo","0","1","0","1","anunciante","2","0","Curitiba","2","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Modern","","0","1","1","0","","0","0","","0","","","","",""
"Moleca/Beira Rio","","2","1","0","0","","0","0","","0","","","","",""
"Moon Marketing","","1","1","0","0","","0","0","","0","","","","",""
"Moove (RS)","","1","6","3","6","agência","9","0","","0","","","","",""
"Morana","","0","0","0","0","","0","0","","0","","","","",""
"Morana","","0","0","0","0","","0","0","","0","","","","",""
"More Comunicação","","0","1","0","1","","0","0","","0","","","","",""
"Morena Rosa","","1","0","0","0","","0","0","","0","","","","",""
"Mormaii","","1","1","0","5","anunciante","1","0","Garopaba","0","","Santa Catarina","","",""
"Morphy Digital","","0","0","0","1","","0","0","","0","","","","",""
"Morrostock","","0","0","0","0","","0","0","","0","","","","",""
"Morya (RS)","","1","2","2","1","agência","11","1","","0","","","","",""
"Mosarte","","1","0","0","0","","0","0","","0","","","","",""
"Mosmann Alimentos","","0","0","0","1","","3","0","","0","","","","",""
"Móveis Campo Largo","","0","0","0","0","","0","0","","0","","","","",""
"Mp+ Comunicação Visual","","0","1","0","0","","0","0","","0","","","","",""
"MPQuatro (RS)","","0","1","4","2","outro","1","0","","0","","","","",""
"MPSC","","0","0","0","0","","0","0","","0","","","","",""
"Mr. Wolf","","0","1","0","1","outro","0","0","","0","","","","",""
"MSD","","0","0","0","0","","0","0","","0","","","","",""
"MTG","","0","0","0","1","","6","0","","0","","","","",""
"Multi  Test Brasil","","0","0","0","1","","3","0","","0","","","","",""
"Multi Test Brasil","","0","0","0","0","","0","0","","0","","","","",""
"Multisom","","1","0","0","0","","0","0","","0","","","","",""
"Mundo do Chocolate","","1","0","0","0","","2","0","","0","","","","",""
"Mustang Sally","Alimentos e Bebidas","0","0","0","1","anunciante","0","0","Curitiba","5","R$ 100 a 999 Mil","Paraná","agência","Médio",""
"MV Trevisan","Comunicação, Edit. e Gráfica","0","1","1","0","anunciante","0","0","Novo Hamburgo","5","acima R$ 5 Mi","Rio Grande do Sul","direto","Micro","Médio"
"MXM","","0","1","0","0","","0","0","","0","","","","",""
"MyFt","","0","0","0","0","","0","0","","0","","","","",""
"Mythos Comunicação","","0","1","1","0","","1","0","","0","","","","",""
"Nação Digital","","1","1","0","0","","1","0","","0","","","","",""
"Nacional Vox","","1","1","0","0","","0","0","","0","","","","",""
"Nações Shopping","","0","0","0","0","","0","0","","0","","","","",""
"Nalu Digital","","1","0","0","0","","0","0","","0","","","","",""
"Não aberto Concorrencia","","1","0","0","1","","1","0","","0","","","","",""
"Nat","","0","0","0","0","","0","0","","0","","","","",""
"Nat Frango","","2","0","2","1","","3","0","","0","","","","",""
"Natal Luz","","0","0","0","0","","0","0","","0","","","","",""
"Naturalle","","0","0","0","0","","0","0","","0","acima R$ 5 Mi","","","",""
"Naturalle Feijão","Agropecuária","1","1","0","1","anunciante","4","0","Pato Branco","3","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Neodent","","0","0","0","0","","0","0","","0","","","","",""
"Neogrid","","0","0","0","0","","0","0","","0","","","","",""
"Neovox (SC)","","1","1","25","21","agência","60","20","Florianópolis","0","","Santa Catarina","","",""
"NET","","0","0","0","0","","0","0","","0","","","","",""
"Neugebauer","","1","1","0","0","","0","0","","0","","","","",""
"New Blue","","0","1","0","1","","0","0","","0","","","","",""
"New Blue (SP)","","0","6","1","5","","1","0","","0","","","","",""
"New Vegas (SP)","","0","2","1","2","","1","1","","0","","","","",""
"Nex Group","","1","1","0","0","","0","0","","0","","","","",""
"Nextel","","2","1","0","2","","6","0","","0","","","","",""
"Nióbio Marketing Digital (SC)","","1","1","0","0","","0","0","","0","","","","",""
"NOC (RS)","","0","1","1","11","","3","0","","0","","","","",""
"NOHELMET (SC)","","0","1","1","0","","1","0","","0","","","","",""
"Noize","","0","0","0","1","","0","0","","0","","","","",""
"Noize","","0","0","0","0","","0","0","","0","","","","",""
"Nossa Hercílio de Luz","","0","0","0","0","","0","0","","0","","","","",""
"Núcleo de Propaganda","","2","2","0","0","","5","0","","0","","","","",""
"Nucleo Propaganda","","0","0","0","0","","0","0","","0","","","","",""
"Nutrella","","0","2","0","1","","0","0","","0","","","","",""
"Nutrifrango","","0","0","0","0","","0","0","","0","","","","",""
"Nutrimental","","1","0","0","0","","0","0","","0","","","","",""
"O Boticário","Outros","5","1","20","0","anunciante","2","0","São José dos Pinhais","10","acima R$ 5 Mi","Paraná","agência","Grande",""
"O Boticário | Network | Nov","","0","0","1","0","","0","0","","0","","","","",""
"O Butiá, Itapuã","","0","1","0","1","anunciante","0","0","","0","","","","",""
"O Butiá, Itapuã","","0","1","0","0","","0","0","","0","","","","",""
"OAS","","0","0","0","0","","0","0","","0","","","","",""
"Obra Prima Importadora","","1","1","0","0","","0","0","","0","","","","",""
"Odebrecht","","0","0","0","0","","0","0","","0","","","","",""
"Oderich","","1","1","0","0","","0","0","","0","","","","",""
"Ogilvy (SP)","","0","1","0","0","","0","0","","0","","","","",""
"Oktoberfest","","0","0","0","0","","0","0","","0","","","","",""
"Oktoberfest Igrejinha","","0","0","0","0","","0","0","","0","","","","",""
"Olympikus","","0","0","0","0","","0","0","","0","","","","",""
"Omar Calçados","","0","0","0","0","","0","0","","0","","","","",""
"Omar Calçados","Comércio - Atacado e Varejo","0","1","0","1","anunciante","7","0","Curitiba","2","R$ 100 a 999 Mil","Paraná","agência","Médio",""
"OneWG (SC)","","0","4","3","8","","2","8","","0","","","","",""
"ONG Oceana","","0","0","0","0","","0","0","","0","","","","",""
"Opngo","","0","0","0","1","","1","0","","0","","","","",""
"Opngo","","0","0","0","0","","0","0","","0","","","","",""
"Opus Promoções","","0","1","2","0","","2","0","","0","","","","",""
"OpusMultipla (PR)","","0","1","0","0","","1","0","","0","","","","",""
"Organnact","","1","0","0","0","","0","0","","0","","Paraná","","",""
"Oro (RS)","","1","0","0","0","","0","0","","0","","","","",""
"Orquídea","","0","1","0","0","","2","0","","0","","","","",""
"Orsegups - Winker Condomínios","Outros","0","0","0","1","anunciante","3","0","São José - SC","0","","Santa Catarina","agência","",""
"Orthomundi","","0","0","0","1","","0","0","","0","","","","",""
"Orthomundi","","0","0","0","0","","0","0","","0","","","","",""
"Ortopé/Paquetá","","0","1","0","1","","2","0","","0","","","","",""
"Otimifica Inbound PR","","0","1","0","0","","0","0","","0","","","","",""
"OU","","0","0","0","0","","0","0","","0","","","","",""
"Oven","Alimentos e Bebidas","1","0","0","1","anunciante","5","0","Curitiba","0","R$ 100 a 999 Mil","Paraná","agência","Pequeno",""
"OXI Comunicação (RS)","","1","2","21","5","agência","8","0","Porto Alegre","0","","","","",""
"Paim (RS)","","2","7","17","45","agência","34","21","Porto Alegre","0","","","","",""
"Panvel","","0","3","1","6","","7","0","","0","","","","",""
"Panvel","","0","0","0","0","","0","0","","0","","","","",""
"Panvel","","0","0","0","0","","0","0","","0","","","","",""
"Panvel","","0","0","0","0","","0","0","","0","","","","",""
"Páprika","","0","1","0","1","","0","0","","0","","","","",""
"Paquetá","","0","0","0","0","","0","0","","0","","","","",""
"Paquetá - RETAIL","","0","2","1","4","","12","9","","0","","","","",""
"Paquetá Esportes","Comércio - Atacado e Varejo","0","0","0","0","anunciante","0","0","Porto Alegre","3","acima R$ 5 Mi","Rio Grande do Sul","agência","Médio",""
"Paraná Banco","Outros","1","1","0","0","anunciante","0","0","Curitiba","5","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Paraná Clube","","1","0","0","0","","0","0","","0","","","","",""
"Parana Clube","","0","0","0","1","","0","0","","0","","","","",""
"Park Shopping Canoas","","0","0","2","0","","1","0","","0","","","","",""
"ParkShopping Canoas","","0","0","0","1","","3","0","","0","","","","",""
"ParkShopping Canoas","","0","0","0","0","","0","0","","0","","","","",""
"Patio Batel","","1","0","0","0","","0","0","","0","","","","",""
"Pátio Higienópolis","","0","0","0","0","","0","0","","0","","","","",""
"Pavioli","","0","1","0","0","","2","0","","0","","","","",""
"Pegada","Couro e Calçados","0","2","0","2","anunciante","1","0","Dois Irmãos","2","abaixo de R$ 100 mil","Rio Grande do Sul","agência","Médio",""
"Pense Avanti","","0","1","0","1","","1","0","","0","","","","",""
"Pereira ODell (SP)","","0","1","1","4","","2","0","","0","","","","",""
"Perinatal","","0","0","0","0","","0","0","","0","","","","",""
"Pernambucanas","Comércio - Atacado e Varejo","0","0","1","3","anunciante","5","0","São Paulo","5","R$ 1 a 5 Mi","São Paulo","agência","Grande",""
"Perto","","0","0","0","1","","1","0","","0","","","","",""
"Petit Jolie","","0","1","0","2","","9","0","","0","","","","",""
"Petit Jolie","","0","0","0","0","","0","0","","0","","","","",""
"Petrobras","","0","0","0","0","","0","0","","0","","","","",""
"Pettenati","","1","0","0","0","","0","0","","0","","","","",""
"Pfiser","","0","0","0","0","","0","0","","0","","","","",""
"Pfizer","","0","0","0","0","","0","0","","0","","","","",""
"PIÁ","","0","0","0","0","","0","0","","0","","","","",""
"PIC ME","","1","0","0","0","","0","0","","0","","","","",""
"Piccadilly","Couro e Calçados","2","1","0","0","anunciante","0","0","Igrejinha","5","R$ 1 a 5 Mi","Rio Grande do Sul","agência","Médio",""
"Picodi.com","","0","1","0","1","","0","0","","0","","","","",""
"Picodi.com","","0","0","0","0","","0","0","","0","","","","",""
"Piemonte Construtora","","0","0","1","0","","1","0","","0","","","","",""
"Piemonte Construtora","","0","0","0","0","","0","0","","0","","","","",""
"Pimenta do Reino","","0","1","0","1","agência","6","0","","0","","","","",""
"PIRAHY Alimentos","","0","1","0","2","","2","0","","0","","","","",""
"Pirisa","Agropecuária","1","0","0","0","anunciante","0","0","Taquara","0","","Rio Grande do Sul","direto","",""
"Pittol Calçados","","1","0","0","0","","0","0","","0","","","","",""
"Pizzaria Baggio","Alimentos e Bebidas","0","0","0","1","anunciante","2","0","Curitiba","2","R$ 100 a 999 Mil","Paraná","agência","Pequeno",""
"Pizzaria Baggio","","0","0","0","0","","0","0","","0","","","","",""
"Plaenge","","1","1","0","0","","0","0","","0","","","","",""
"Plan (RS)","","0","2","0","2","","3","3","","0","","","","",""
"Plan Mkt Digital","","0","1","0","1","","0","0","","0","","","","",""
"Planeta Atlântida","","0","0","0","0","","0","0","","0","","","","",""
"PMPA","","0","1","0","1","","1","0","","0","","","","",""
"Polvo","","0","1","0","0","","1","0","","0","","","","",""
"Porto de Imbituba","","0","0","0","0","","0","0","","0","","","","",""
"Porto Seguro","","1","0","0","0","","0","0","","0","","","","",""
"Portobello","","0","0","0","0","","0","0","","0","","","","",""
"Positivo","","0","1","0","1","","0","0","","0","","","","",""
"Positivo Informática","","1","3","0","1","","3","3","","0","","","","",""
"Positivo Informática","","0","0","0","0","","0","0","","0","","","","",""
"Posthaus","Têxtil e Confecções","1","0","0","0","anunciante","1","0","Blumenau","0","R$ 1 a 5 Mi","Santa Catarina","direto","Grande",""
"Praetzel (RS)","","1","1","0","0","","0","0","","0","","","","",""
"Praia de Belas Shopping","","0","0","0","0","","0","0","","0","","","","",""
"Praia de Belas Shopping Center","","0","0","1","0","","0","0","","0","","","","",""
"Praia de Belas Shopping Center","","0","0","0","0","","0","0","","0","","","","",""
"Pranay Corretora de Seguros Ltda","","1","1","0","0","","0","0","","0","","","","",""
"Prat-K","","0","0","0","0","","0","0","","0","","","","",""
"Prata Esquadrias","","0","0","0","0","","0","0","","0","","","","",""
"Pravy (SP)","","0","1","0","1","","1","0","","0","","","","",""
"Prefeitura de Canoas","","0","1","1","0","","0","0","","0","","","","",""
"Prefeitura de Caxias do Sul","","1","1","0","0","","0","0","","0","","","","",""
"Prefeitura de Caxias do Sul","","0","0","0","0","","0","0","","0","","","","",""
"Prefeitura de Curitiba","","0","0","0","0","","0","0","","0","","","","",""
"Prefeitura de Novo Hamburgo","","0","0","0","0","","0","0","","0","","","","",""
"Prefeitura de Porto Alegre","","0","0","0","0","","0","0","","0","","","","",""
"Prefeitura de São José","","0","0","0","1","","2","0","","0","","","","",""
"Previsul","","0","0","0","0","","0","0","","0","","","","",""
"Primi Stili","","0","0","0","0","","0","0","","0","","","","",""
"Primor","","0","0","0","0","","0","0","","0","","","","",""
"Principio Comunicação","","0","0","0","0","","0","0","","0","","","","",""
"Pro Target","","0","0","0","0","","0","0","","0","","","","",""
"Produtora Batuque","","1","0","0","0","","0","0","","0","","","","",""
"Projetual","","0","1","0","0","","2","0","","0","","","","",""
"Pronexo (RS)","","0","1","7","12","agência","5","0","Novo Hamburgo","0","","","","",""
"Pronto falei","","0","1","0","0","","0","0","","0","","","","",""
"Propague","","0","0","0","1","","0","0","","0","","","","",""
"Propague","","0","0","0","2","","3","0","","0","","","","",""
"Propague (SC)","","1","2","0","8","","6","0","","0","","","","",""
"Propulsão Digital","Educação","0","0","0","0","anunciante","0","0","Itajaí/SC","0","abaixo de R$ 100 mil","Santa Catarina","direto","Micro","Médio"
"Publivar (RS)","","0","4","6","4","agência","3","0","Porto Alegre","0","","","","",""
"Publya","","0","1","0","1","","0","0","","0","","","","",""
"Publya","","0","0","0","0","","0","0","","0","","","","",""
"PUC PR","Educação","4","1","2","2","anunciante","3","0","Curitiba","7","R$ 1 a 5 Mi","Paraná","agência","Médio",""
"PUC SC","","0","0","1","0","","2","0","","0","","","","",""
"PUCRS","Educação","2","1","0","2","anunciante","5","0","Porto Alegre","3","R$ 1 a 5 Mi","Rio Grande do Sul","agência","Médio",""
"PUFV","","1","0","0","1","","2","0","","0","","","","",""
"PUFV","","0","0","0","0","","0","0","","0","","","","",""
"Puro Movimento","","0","1","0","4","","0","0","","0","","","","",""
"Puro Trato","","1","0","0","0","","0","0","","0","","","","",""
"QI Faculdades e Escolas","","1","1","0","0","","0","0","","0","","","","",""
"Quadra Comunicação","","0","1","1","2","","5","0","","0","","","","",""
"Quadrante Sul","","0","1","0","1","","0","0","","0","","","","",""
"Qualé Digital","","1","0","0","0","","0","0","","0","","","","",""
"Qualitta Rh","","0","0","0","0","","0","0","","0","","","","",""
"Queen Mob","","0","1","0","1","","0","4","","0","","","","",""
"Racon","","0","0","0","0","","0","0","","0","","","","",""
"Rádio Alegria","Outros","0","1","1","0","anunciante","0","0","Novo Hamburgo","0","","Rio Grande do Sul","direto","",""
"Raffcom (SC)","","1","1","0","1","","1","0","","0","","","","",""
"Rage (RS)","","0","3","0","2","","5","1","","0","","","","",""
"Ramarim","Couro e Calçados","0","1","2","1","anunciante","2","0","Nova Hartz","3","acima R$ 5 Mi","Rio Grande do Sul","agência","Médio","Médio"
"Randon","","0","0","0","0","","0","0","","0","","","","",""
"RBA Comunicação (RS)","","0","1","0","1","agência","2","0","Novo Hamburgo","0","","Rio Grande do Sul","","",""
"RBS","Comunicação, Edit. e Gráfica","0","0","0","1","anunciante","2","0","Porto Alegre","10","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"redefit","","1","1","0","0","outro","0","0","","0","","","","",""
"RedeMac","Material de Construção","1","1","0","0","anunciante","0","0","Gravataí","0","","Rio Grande do Sul","direto","",""
"RedeMac","","0","0","0","0","","0","0","","0","","","","",""
"Reebok","","0","0","0","0","","0","0","","0","","","","",""
"Reebok","","0","0","0","0","","0","0","","0","","","","",""
"Reis Vergara","","0","0","6","0","","0","0","","0","","","","",""
"Renauxview","","0","0","0","0","","0","0","","0","","","","",""
"RentCars","","0","1","0","1","","0","0","","0","","","","",""
"RentCars","","0","0","0","0","","0","0","","0","","","","",""
"Residencial Pedra Branca","","0","0","0","0","","0","0","","0","","","","",""
"Resultados Digitais","Outros","0","1","1","0","anunciante","0","0","Florianópolis","30","R$ 100 a 999 Mil","Santa Catarina","direto","Grande","Baixo"
"RevBox","","0","1","0","1","","0","0","","0","","","","",""
"RevBox","","0","0","0","0","","0","0","","0","","","","",""
"Revista Playboy","","0","0","0","0","","0","0","","0","","","","",""
"Ri Happy","","0","0","0","0","","0","0","","0","","","","",""
"Ri Happy Baby","","0","0","0","0","","0","0","","0","","","","",""
"Riachuelo","","0","0","0","0","","0","0","","0","","","","",""
"Rick_Poly and Family","Comércio - Atacado e Varejo","0","1","1","0","anunciante","0","0","Londrina","1","R$ 100 a 999 Mil","Paraná","direto","Micro",""
"Riffel","","0","0","0","0","","0","0","","0","","","","",""
"Rissul","Alimentos e Bebidas","1","0","0","1","anunciante","1","0","São Leopoldo","0","R$ 100 a 999 Mil","Rio Grande do Sul","agência","Médio",""
"Rodoil","","0","0","0","0","","0","0","","0","","","","",""
"Rolamentos Werlang","","0","1","0","0","","0","0","","0","","","","",""
"Romanzza","","1","0","0","0","","4","0","","0","","","","",""
"Rosa Tatuada","","0","0","0","0","","0","0","","0","","","","",""
"Rotta Ely","","1","1","0","0","","0","0","","0","","","","",""
"RPX (Pro HDX)","","0","0","0","0","anunciante","0","0","Balneário Camboriú","0","abaixo de R$ 100 mil","Santa Catarina","direto","","Baixo"
"Rumo ALL","","0","0","1","0","","0","0","","0","","","","",""
"Run","","0","0","0","1","","0","0","","0","","","","",""
"S2 Parking","","0","0","0","0","","0","0","","0","","","","",""
"Saccaro","","0","0","1","0","","1","0","","0","","","","",""
"Safe SST","","0","1","0","1","","0","0","","0","","","","",""
"Safeweb","","1","1","0","0","","0","1","","0","","","","",""
"Safira","","0","0","0","0","","0","0","","0","","","","",""
"Saloni","","0","0","0","0","","0","0","","0","","","","",""
"Sambba (SC)","","0","2","3","6","agência","11","0","","0","","","","",""
"Samsung","","0","0","0","0","","0","0","","0","","","","",""
"Sanibrás","","1","1","0","1","","3","0","","0","","","","",""
"Sanremo","","1","1","0","0","anunciante","0","0","Esteio","0","","Rio Grande do Sul","direto","",""
"Sanremo","","0","0","0","0","","0","0","","0","","","","",""
"Santa Clara","","0","0","0","0","","0","0","","0","","","","",""
"Santa Clara (SP)","","0","1","0","1","","0","0","","0","","","","",""
"Santa Clara Alimentos","","2","0","0","0","","0","0","","0","","","","",""
"Santa Lolla","","0","0","0","0","","0","0","","0","","","","",""
"Santista","","1","0","0","0","","1","0","","0","","","","",""
"SanTur","","0","0","0","0","","0","0","","0","","","","",""
"Savarauto","","2","0","0","0","","1","0","","0","","","","",""
"Schar","Alimentos e Bebidas","1","0","0","0","anunciante","1","0","Porto Alegre","1","acima R$ 5 Mi","Rio Grande do Sul","agência","Médio",""
"Schar","","0","0","0","0","","0","0","","0","","","","",""
"Schutz","","0","0","0","0","","0","0","","0","","","","",""
"Schutz","","0","0","0","2","","0","0","","0","","","","",""
"Scotch Brite","","1","0","0","0","","3","0","","0","","","","",""
"Sebrae PR","","1","0","0","0","","0","0","","0","","","","",""
"Sebrae SP","","2","0","0","0","","2","0","","0","","","","",""
"Sebrae União e Vale do Piquiri","","1","0","0","0","","0","0","","0","","","","",""
"Sebrae-RS","Serviços Públicos","2","0","3","0","anunciante","0","0","Porto Alegre","0","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"SECAD","","1","1","2","0","","0","0","","0","","","","",""
"SECAD","","0","0","0","0","","0","0","","0","","","","",""
"SECOM RS","Serviços Públicos","1","2","0","1","anunciante","0","0","Porto Alegre","5","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"SECOM SC","Serviços Públicos","1","1","2","1","anunciante","0","0","Florianópolis","15","acima R$ 5 Mi","Santa Catarina","agência","Grande","Médio"
"SECS - PR","","0","1","0","1","","0","0","","0","","","","",""
"SEDUC RS","","0","0","0","1","","0","0","","0","","","","",""
"Seekr","","0","1","1","0","","0","0","","0","","","","",""
"Seeling","","0","0","0","0","","0","0","","0","","","","",""
"Seguros Unimed","Saúde","0","0","4","0","anunciante","0","0","Porto Alegre","0","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"Selling (RS)","","0","5","1","11","","6","7","","0","","","","",""
"sem nome","","2","1","0","0","","2","0","","0","","","","",""
"Senac RS","","1","1","0","1","","5","0","","0","","","","",""
"Senac SC","","1","0","0","0","","0","0","","0","","","","",""
"SENAI","Outros","0","2","0","3","anunciante","1","0","Curitiba","5","R$ 100 a 999 Mil","","direto","Grande",""
"SENAI PR","","0","0","3","0","","0","0","","0","","","","",""
"SENAI PR","","0","0","0","0","","0","0","","0","","","","",""
"SENAI RS","","0","0","0","1","","2","0","","0","","","","",""
"SENAI SC","","2","0","0","0","","2","0","","0","","","","",""
"Serasa","","0","0","0","0","","0","0","","0","","","","",""
"Serasa","","0","0","0","0","","0","0","","0","","","","",""
"SESC RS","Outros","0","0","0","0","anunciante","0","0","","5","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"Sesc SC","","0","0","0","0","","0","0","","0","","","","",""
"Sescoop Rs","","0","0","0","0","","0","0","","0","","","","",""
"SESI","","1","0","0","0","","0","0","","0","","","","",""
"SESI / SENAI RS","","0","0","0","0","","0","0","","0","","","","",""
"SESI PR","","0","0","0","0","","0","0","","0","","","","",""
"Shopbaby Kids","","0","0","0","0","","0","0","","0","","","","",""
"Shopbabykids","Comércio - Atacado e Varejo","0","1","1","0","anunciante","0","0","Nova Esperança","2","abaixo de R$ 100 mil","Paraná","direto","Micro",""
"Shopping Cantareira Norte","","0","0","0","0","","0","0","","0","","","","",""
"Shopping de Ideias","","1","2","0","1","","1","0","","0","","","","",""
"Shopping Iguatemi SC","","1","0","0","0","","0","0","","0","","","","",""
"Shopping Itaguaçu","","0","0","0","1","","0","0","","0","","","","",""
"Shopping Mueller","","0","1","0","4","","0","0","","0","","","","",""
"Shopping Palladium","Comércio - Atacado e Varejo","1","1","1","10","anunciante","15","8","Curitiba","3","R$ 100 a 999 Mil","Paraná","agência","Médio",""
"Shopping Pátio Batel","","1","0","0","0","","0","0","","0","","","","",""
"Sicredi Central RS","Financeiro","5","3","0","10","anunciante","27","4","Porto Alegre","15","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"Sicredi PR","","1","1","0","1","","3","0","","0","","","","",""
"Sicredi União","","0","0","0","0","","0","0","","0","","","","",""
"Sidesc","","2","0","0","0","","2","0","","0","","","","",""
"Siemens","","0","0","0","0","","0","0","","0","","","","",""
"Sierra Móveis","","1","0","0","0","","3","0","","0","","","","",""
"SIM Rede de Postos","","1","0","0","0","anunciante","2","0","","0","","Rio Grande do Sul","agência","",""
"Simbiose Talentos","","0","0","0","0","","0","0","","0","","","","",""
"Similar Web","","0","1","0","1","","0","0","","0","","","","",""
"Sindha POA","","1","0","0","1","","0","0","","0","","","","",""
"Sindicato das Escolas Particulares","","0","0","0","0","","0","0","","0","","","","",""
"Sindilojas","","1","1","1","0","","1","0","","0","","","","",""
"Sinoscar","","1","0","0","0","","0","0","","0","","","","",""
"Siriweb","","0","0","0","1","","1","0","","0","","","","",""
"Sky Banda Larga","","1","0","0","0","","0","0","","0","","","","",""
"Slaviero","Turismo e Hotelaria","0","0","0","0","anunciante","0","0","São Paulo","5","R$ 100 a 999 Mil","Paraná","agência","Médio",""
"Snowland","","0","1","1","0","","0","0","","0","","","","",""
"So What","","0","0","0","0","","1","0","","0","","","","",""
"So.Si","","0","0","0","0","","0","0","","0","","","","",""
"Sociedade da Mesa","Alimentos e Bebidas","0","0","0","0","anunciante","0","0","Rio de Janeiro","10","R$ 1 a 5 Mi","Rio de Janeiro","agência","Médio",""
"Software","","0","0","0","1","","4","0","","0","","","","",""
"Soluções Acústicas Pablo Serrano","","0","1","0","1","","2","0","","0","","","","",""
"Sony","","0","0","0","0","","0","0","","0","","","","",""
"Sorrifácil","","0","0","1","0","","0","0","","0","","","","",""
"Soundthinkers","","0","1","0","1","","0","0","","0","","","","",""
"Soundthinkers","","0","0","0","0","","0","0","","0","","","","",""
"SouNet","","1","1","0","0","","3","0","","0","","","","",""
"Sport Clube Internacional","","1","0","0","1","","1","0","","0","","","","",""
"Sportion","","0","3","0","3","","1","0","","0","","","","",""
"SPR (RS)","","3","3","19","21","agência","26","0","Novo Hamburgo","0","","","","",""
"SSP SC","","0","0","0","0","","0","0","","0","","","","",""
"ST Marcher","","0","0","0","0","","0","0","","0","","","","",""
"Stara","","1","0","0","0","","0","0","","0","","","","",""
"StartUp","","0","0","0","0","","0","0","","0","","","","",""
"Steal The Look","","0","1","0","0","","1","0","","0","","","","",""
"Stemac","","1","0","0","0","","1","0","","0","","","","",""
"STIHL","Máquinas e Equipamentos","2","0","1","5","anunciante","9","0","São Leopoldo","0","R$ 1 a 5 Mi","Rio Grande do Sul","agência","Médio",""
"Stihl","","0","1","0","1","","2","0","","0","","","","",""
"stuhlberger","","1","0","0","0","","1","0","","0","","","","",""
"stuhlberger","","0","0","0","0","","0","0","","0","","","","",""
"STZ","","2","0","1","2","","12","0","","0","","","","",""
"Suaposta","","0","0","0","0","","0","0","","0","","","","",""
"Substância Gastronomia Light","","0","0","0","0","","0","0","","0","","","","",""
"Subway","Alimentos e Bebidas","0","0","0","0","anunciante","0","0","São Paulo","10","R$ 1 a 5 Mi","","agência","Grande",""
"Sul Peças","","1","1","0","0","","0","0","","0","","","","",""
"SulGás","","0","0","0","0","anunciante","0","0","Porto Alegre","0","acima R$ 5 Mi","Rio Grande do Sul","agência","",""
"Super Carros","","0","0","0","0","","0","0","","0","","","","",""
"Super Carros","","1","1","0","1","","4","0","","0","","","","",""
"Super em Kasa","","1","1","0","0","","0","0","","0","","","","",""
"SuperAuto","","0","0","0","0","","0","0","","0","","","","",""
"Superlegal Brinquedos","","0","0","1","0","anunciante","2","0","","0","","Rio Grande do Sul","agência","",""
"Superlegal Brinquedos","","0","0","0","0","","0","0","","0","","","","",""
"Supermercados Festval","","1","1","0","0","","0","0","","0","","","","",""
"Supernova Comunicação (SC)","","0","1","1","0","","3","0","","0","","","","",""
"Supper Rissul","Comércio - Atacado e Varejo","0","0","0","1","anunciante","2","0","São Leopoldo","0","","Rio Grande do Sul","agência","",""
"Supper Rissul","","0","0","0","0","","0","0","","0","","","","",""
"Suprema","","0","0","0","0","","0","0","","0","","","","",""
"Sushiaki Japanese Food","","0","0","0","0","","0","0","","0","","","","",""
"Swift","","0","0","0","0","","0","0","","0","","","","",""
"Tag Interativa (SC)","","1","0","1","0","","0","0","","0","","","","",""
"TAG LIVROS","Outros","0","1","2","0","anunciante","3","0","Porto Alegre","2","R$ 100 a 999 Mil","Rio Grande do Sul","direto","Micro",""
"Talking Net","","0","0","0","0","","0","0","","0","","","","",""
"Tanara","Couro e Calçados","0","2","0","1","anunciante","0","0","Nova Petrópolis","2","abaixo de R$ 100 mil","Rio Grande do Sul","agência","Médio",""
