"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"Auto Shopping Curitiba","Automotivo","0","1","0","2","anunciante","7","0","Curitiba","3","acima R$ 5 Mi","Paraná","agência","Médio",""
"Autoridade Fitness","","1","1","0","0","","1","0","","0","","","","",""
"Avenida Digital","Outros","0","1","1","0","anunciante","1","0","Londrina","10","R$ 100 a 999 Mil","Paraná","direto","Pequeno",""
"Avipal","","0","0","0","0","","0","0","","0","","","","",""
"Avon","","2","0","0","0","","2","0","","0","","","","",""
"B","","0","1","0","0","","0","0","","0","","","","",""
"Babushka (SP)","","0","3","1","2","","6","0","","0","","","","",""
"Badesul","","0","0","0","0","","0","0","","0","","","","",""
"Balaroti","","1","1","0","0","","4","0","","0","","","","",""
"Balarotti","","0","1","0","0","","2","0","","0","","","","",""
"Banana Brasil","","1","0","0","0","","1","0","","0","","","","",""
"Banco Original","","0","0","0","0","","0","0","","0","","","","",""
"Banco PAN","Financeiro","2","0","0","2","anunciante","6","0","","0","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"Banricoop","","0","1","0","0","","1","0","","0","","","","",""
"Banrisul","","2","0","4","2","","7","0","","0","","","","",""
"BarraShoppingSul","","1","1","0","0","","1","0","","0","","","","",""
"BASF","","0","0","0","0","","0","0","","0","","","","",""
"Batuca (RS)","","0","1","1","5","","4","0","","0","","","","",""
"BBA","","0","0","0","0","","0","0","","0","","","","",""
"Beauty Color","Outros","0","1","0","6","anunciante","6","0","Pinhais - PR","5","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Beauty Color","","0","0","0","0","","0","0","","0","","","","",""
"Beauty Date","","1","1","0","0","","0","0","","0","","","","",""
"Bebecê","","0","0","0","0","","0","0","","0","","","","",""
"Beijo Pink","","0","1","1","0","","2","0","","0","","","","",""
"Beira Mar Shopping","","1","0","0","0","","0","0","","0","","","","",""
"Beira-Rio","","1","1","0","1","","1","0","","0","","","","",""
"Belt Nutrition","Saúde","1","1","0","0","anunciante","4","0","Curitiba","2","acima R$ 5 Mi","Paraná","agência","Médio",""
"Beto Carrero","","1","0","0","0","anunciante","0","0","","0","","","","",""
"Bibi Calçados","Couro e Calçados","0","1","0","1","anunciante","0","0","Parobé","3","","Rio Grande do Sul","agência","Médio",""
"Bistrõ","","0","0","0","0","","0","0","","0","","","","",""
"Bit Conteúdo (RS)","","0","1","0","2","","1","0","","0","","","","",""
"Bitnix","","1","2","1","0","","0","0","","0","","","","",""
"Black & Decker","","0","0","0","0","","0","0","","0","","","","",""
"Blasting News","","1","1","0","0","publisher","0","0","","0","","","","",""
"Bluefoot","","1","1","0","0","","0","1","","0","","","","",""
"Blueticket","","1","2","0","1","anunciante","1","0","","0","","","","",""
"Boa Onda","","1","1","0","0","","0","0","","0","","","","",""
"Bolognesi","","0","0","0","0","","0","0","","0","","","","",""
"Bomag Marini","","0","1","0","1","","1","3","","0","","","","",""
"Bonaparte (RS)","","1","3","2","4","","14","0","","0","","","","",""
"Bonprix","","0","0","0","1","","3","0","","0","","","","",""
"Bontempo","","0","1","0","0","","0","0","","0","","","","",""
"Bortolini","","0","0","0","0","","0","0","","0","","","","",""
"Bottero","Couro e Calçados","0","1","0","1","anunciante","5","0","Porto Alegre","3","R$ 100 a 999 Mil","Rio Grande do Sul","agência","Grande",""
"Bourbon","","0","0","0","0","","0","0","","0","","","","",""
"Bourbon Curitiba Convention Hotel","","1","0","0","0","","0","0","","0","","","","",""
"Bovespa","Financeiro","0","0","0","0","anunciante","0","0","São Paulo","5","acima R$ 5 Mi","São Paulo","agência","Grande",""
"Box Brasil","","0","0","0","0","","1","0","","0","","","","",""
"BR Malls","","2","0","0","0","","3","0","","0","","","","",""
"BR Malls Caxias","","1","1","0","0","","0","0","","0","","","","",""
"Br Supply","","1","1","0","0","","0","0","","0","","","","",""
"BRA Digital (RS)","","0","2","19","31","agência","27","62","Novo Hamburgo","0","","","","",""
"Branco","","1","0","0","0","","1","0","","0","","","","",""
"Brandili","","0","1","0","2","","2","2","","0","","","","",""
"Brasil Atacadista","","2","0","0","0","","1","0","","0","","","","",""
"Brasil Kirin","","0","0","0","0","","0","0","","0","","","","",""
"Braskem","","0","0","0","1","","0","0","","0","","","","",""
"Brinox","","0","0","0","0","","0","0","","0","","","","",""
"Brisa Comunicação","","0","0","0","0","","1","0","","0","","","","",""
"Brisa Propaganda","","0","0","0","0","","0","0","","0","","","","",""
